id,vraag,verwachte_tool,verwacht_antwoord,tool_gebruikt,antwoord_goed
1,Welk nummer stond in 2025 op nummer 1 in de Top 2000?,zoek_noteringen,Queen - Bohemian Rhapsody,,
2,Op welke positie stond Bohemian Rhapsody in de Top 2000 van 2015?,zoek_noteringen,2,,
3,Wat was de hoogste notering van Hotel California in 2020?,zoek_noteringen,3,,
4,Stond Smells Like Teen Spirit in de lijst van 2003?,zoek_noteringen,nee,,
5,Op welke plek kwam Roller Coaster van Danny Vera binnen in zijn eerste jaar?,artiest_overzicht,4,,
6,Hoe is De Dijk het door de jaren heen vergaan in de Top 2000?,artiest_overzicht,(handmatig beoordelen),,
7,Wat is de hoogste notering die Metallica ooit haalde?,artiest_overzicht,8,,
8,Hoeveel verschillende nummers van Queen staan er in de lijst van 2024?,artiest_overzicht,34,,
9,Welk nummer van Pink Floyd is het meest gestegen sinds zijn eerste notering?,artiest_overzicht,(handmatig beoordelen),,
10,In welk jaar stond ABBA voor het eerst in de lijst?,artiest_overzicht,1999,,
11,Uit welk jaar komt het nummer Africa van Toto?,songinfo,(NOG NIET BETROUWBAAR: verrijking 1% compleet) 1982,,
12,Hoe lang duurt Roller Coaster van Danny Vera?,songinfo,(NOG NIET BETROUWBAAR: verrijking 1% compleet) 4:29,,
13,In hoeveel jaargangen heeft Bohemian Rhapsody gestaan?,songinfo,27,,
14,Welke artiest heeft over alle jaargangen samen de meeste noteringen?,geen,The Beatles (1185),,
15,Wat is het gemiddelde releasejaar van de nummers in de lijst van 2025?,geen,(NOG NIET BETROUWBAAR: verrijking 1% compleet) 1984.8,,
16,Uit welk decennium komen de meeste nummers in de Top 2000?,geen,(handmatig beoordelen),,
17,Hoeveel Nederlandse artiesten staan er in de lijst van 2025?,geen,(NOG NIET BETROUWBAAR: verrijking 1% compleet) 3,,
18,Hoe is Zanger Bassie het vergaan in de Top 2000?,artiest_overzicht,(handmatig beoordelen),,
19,Welke nummers van De Dijk stonden in 1999 in de lijst?,zoek_noteringen,Als ze er niet is; Bloedend hart; Binnen zonder kloppen; Ik kan het niet alleen; Nergens goed voor,,
20,Wat stond er op plek 500 in 2010?,zoek_noteringen,Elton John - Your Song,,
